Date,XLK_Volume,XLF_Volume,XLE_Volume,XLV_Volume,SPY_Volume
2010-03-16,13229600,92828356,38322600,5494000,168673000
2010-03-17,19621000,113668817,43343600,11159700,177468100
2010-03-18,9003200,91978843,39453800,7125700,196509100
2010-03-19,18086000,110142617,44824800,8386700,226641100
2010-03-22,16861600,78909193,39713000,7909200,184477800
2010-03-23,11956800,79992227,34841400,5713500,182941600
2010-03-24,11754200,86346279,41494000,6315000,196072600
2010-03-25,16660400,150906813,44246000,5120600,223396300
2010-03-26,17161200,218970526,42987800,6811000,205808500
2010-03-29,15494400,76076908,38952000,4818700,134513500
2010-03-30,10629000,59183033,26115600,3440100,145772500
2010-03-31,9356400,72467985,30335400,4834400,161078700
2010-04-01,18213400,59488321,35980200,5602900,161215200
2010-04-05,9699200,55300582,34911400,4655600,105847600
2010-04-06,10143800,63364125,27071600,3978900,110384200
2010-04-07,11420600,91544300,39071600,4733200,184576300
2010-04-08,16910400,86447591,38919400,4561700,158704000
2010-04-09,10978600,64967625,34977200,4155000,133006500
2010-04-12,8320800,56718325,30055600,4513500,110279000
2010-04-13,11877200,85280479,27711000,7279200,125043600
2010-04-14,29962600,155369926,29171200,6331200,161609000
2010-04-15,18980400,101626682,27894400,5119600,144615300
2010-04-16,30402400,468533372,73328400,8928300,366786700
2010-04-19,17533600,319699563,42298200,11270000,217947800
2010-04-20,13887000,151176894,39333200,5741100,157708000
2010-04-21,18800600,210131946,37143200,13931400,192910100
2010-04-22,8321000,123733596,21374000,4291800,115360300
2010-04-23,25740400,109054906,52021800,10974900,177335500
2010-04-26,19625800,128910443,34525600,7321500,143457300
2010-04-27,56498000,289883143,82804800,10692000,355853300
2010-04-28,25521400,194917032,46190000,10333300,300674100
2010-04-29,18107200,153177515,57721400,10236400,193775000
2010-04-30,21095200,206146707,45833000,12506600,270000900
2010-05-03,13769000,110817944,33379800,5629700,182747900
2010-05-04,29680600,195182313,61168800,14483400,360353400
2010-05-05,26930000,227201362,70413000,9627700,328973200
2010-05-06,51044800,385070710,94401400,21647700,647356600
2010-05-07,50444200,434082852,98981800,18182100,637558800
2010-05-10,46776400,220172844,59433800,13168100,396159600
2010-05-11,25730000,149938016,45673200,8829300,317849800
2010-05-12,23624200,108045855,37616200,6115800,235607100
2010-05-13,22879600,117497842,42234600,6872600,234452500
2010-05-14,32993200,185612150,56791400,13544100,345601400
2010-05-17,29975200,215164644,63878600,11950000,325739800
2010-05-18,45030400,245298293,61329800,11648200,360556800
2010-05-19,53445200,282446426,60211200,12608800,394742700
2010-05-20,39636800,264759910,89767600,15946600,530418300
2010-05-21,42044000,256736868,80312000,16465100,500909400
2010-05-24,25923400,132667948,54698400,10310900,269823000
2010-05-25,36575800,202843441,86228000,16411700,396505200
2010-05-26,48645200,153920670,59695200,12620400,349719300
2010-05-27,38243400,150171413,60610400,9438500,300870500
2010-05-28,24232600,156946837,52657400,13301500,297933500
2010-06-01,26467000,102271849,72695200,11633700,277909400
2010-06-02,20760000,97060780,55296400,10510200,240243700
2010-06-03,25170000,126116689,67379800,8442500,226618300
2010-06-04,36989000,146914680,59718800,11034700,398475600
2010-06-07,21086400,128171597,48249600,9478700,264609100
2010-06-08,26650400,180966602,70188800,10571000,357774300
2010-06-09,26627000,153438734,61359800,8428600,268023300
2010-06-10,28425600,138725329,51986800,6967900,317890600
2010-06-11,21450600,66406172,30326200,7042100,214128200
2010-06-14,26047600,111620925,47629000,6416400,207196100
2010-06-15,23053600,124529437,34142400,4921200,238268700
2010-06-16,15507600,76874719,28992600,5576900,216374000
2010-06-17,19837200,88713985,34826000,5710800,263185800
2010-06-18,14238600,82191162,27196400,6962900,174006600
2010-06-21,17484400,105541262,33251400,7458600,213140700
2010-06-22,20366800,102404305,43145200,7226400,239355400
2010-06-23,18819600,147406957,35639200,6431100,254639900
2010-06-24,30528200,180425454,33908000,10192000,268523600
2010-06-25,31331000,174342222,40874800,8439200,238726500
2010-06-28,20527200,97958795,31908800,6556200,169218600
2010-06-29,39667200,190216582,44985200,15076600,373649500
2010-06-30,25000000,152587990,33385600,9503400,284101700
2010-07-01,45810800,164533121,51605200,23346200,382924800
2010-07-02,17022000,82338882,22839200,10103400,233385200
2010-07-06,30672400,131649787,34598000,11667300,256935300
2010-07-07,25780600,135275082,37817400,8794500,253769400
2010-07-08,17332800,99375306,29743000,7165200,210842100
2010-07-09,15716400,99814035,18225800,4261600,144999900
2010-07-12,17427200,67070912,16413800,5026200,131283600
2010-07-13,20582000,103837681,28330200,5439300,213025900
2010-07-14,24766800,95201847,23880200,5958300,184426800
2010-07-15,24839000,118284082,29824600,4594500,232337900
2010-07-16,30216200,174393677,36261600,9790100,282693400
2010-07-19,14704600,87813508,25082600,5391900,186709000
2010-07-20,31219600,113625609,33496400,8178400,258162400
2010-07-21,33310200,126180578,45027600,14343400,264527000
2010-07-22,23437600,103468874,45984400,10500800,274781300
2010-07-23,20772800,85939803,36051600,8858800,222020800
2010-07-26,13152600,97582109,23881600,10261500,184445700
2010-07-27,15588400,114958905,32817800,6225700,204855600
2010-07-28,26353400,60830850,21551400,9662900,163056200
2010-07-29,21295400,86025234,29114600,10540100,220149100
2010-07-30,17912400,72789892,23632200,7539400,220070600
2010-08-02,31420600,120011913,55158000,11733200,188263200
2010-08-03,10787400,81845251,28509000,10266000,146657300
2010-08-04,29363200,82030516,26215400,9458100,158171700
2010-08-05,10129600,50578959,17817400,4285100,140473800
2010-08-06,31234200,101926554,36234800,8894200,239728300
2010-08-09,27105600,49583449,13428400,4061700,120800400
2010-08-10,22578600,81174971,24521000,8692600,242916300
2010-08-11,36123000,117411918,37659400,13216600,273406900
2010-08-12,30331600,88825636,30510800,9553700,239542600
2010-08-13,12157600,64041298,18199400,4340300,158698500
2010-08-16,20537200,68304497,20571400,4641300,147895300
2010-08-17,34201200,79810039,36034800,7183200,172270300
2010-08-18,25232200,68372325,37387800,4410100,182922100
2010-08-19,27622200,124471211,32998200,8736200,265847600
2010-08-20,18632800,81137426,24849400,5606200,209714200
2010-08-23,16367400,66239371,16351600,6570800,163490300
2010-08-24,21180600,116123431,29477600,12112600,280677800
2010-08-25,22105800,90747843,38673400,10713000,272234800
2010-08-26,20309400,88256545,21953600,6566000,224439500
2010-08-27,29983400,107590139,39417400,7200700,272649000
2010-08-30,15187000,78521797,18313200,5835000,167238600
2010-08-31,31040000,131233463,35157400,8756200,273933100
2010-09-01,29596200,163002496,38265800,10345200,256828100
2010-09-02,18613000,82205072,19697400,6003300,156112200
2010-09-03,20718000,108976122,26494200,6604700,212197300
2010-09-07,15678800,69632992,22814000,3954000,141973700
2010-09-08,18581600,63465559,18584400,6850700,149924400
2010-09-09,13895200,100214233,15673400,6305700,147017900
2010-09-10,16300600,48934712,15190600,5453100,127819000
2010-09-13,23197400,93892679,18263200,5947100,178503500
2010-09-14,18854400,81324661,27955800,8386700,209823600
2010-09-15,14763400,91766372,28226000,4894200,168608400
2010-09-16,15599600,65492647,33517600,4913900,199962900
2010-09-17,28835400,80925078,28705800,6038900,195836900
2010-09-20,19105200,64263001,38781800,5467800,214555200
2010-09-21,37269200,103705472,33533000,7579700,268389100
2010-09-22,16811600,114854147,32318000,5875600,191322400
2010-09-23,19862600,127349658,24716800,8156800,202354300
2010-09-24,16332600,94600257,49249000,5571100,209671800
2010-09-27,30638200,76726384,21783000,4840600,128761800
2010-09-28,29432000,101337767,33159200,5634600,209207500
2010-09-29,12267000,82229692,42985800,7966300,179665800
2010-09-30,26278600,132373000,46339600,8680300,287106700
2010-10-01,24335400,162650799,40019800,8791700,174638700
2010-10-04,16976000,105309096,29505400,6193600,166153200
2010-10-05,15425800,163731125,43231600,6786200,229634100
2010-10-06,14340000,79712666,28210200,5800000,148626600
2010-10-07,9899400,88379153,27125600,6052000,164860000
2010-10-08,13341200,76830034,31677600,3678600,177760100
2010-10-11,12082000,50798200,16092000,2452400,103098300
2010-10-12,22014600,81038084,33330200,3194600,182210000
2010-10-13,30959000,138693077,29362800,3323600,194347200
2010-10-14,11029200,208325454,23005600,5111500,217764300
2010-10-15,42694000,163544136,30153600,5880600,243705000
2010-10-18,21501200,96393824,21854400,7161000,141204800
2010-10-19,50409400,180636325,38568400,8833000,280604700
2010-10-20,47254600,118915708,25257200,5489400,200051800
2010-10-21,55292800,90587936,26826000,5983600,221585500
2010-10-22,11525200,50796353,13117600,4671900,108212400
2010-10-25,19000000,56338931,22706400,6532600,151145700
2010-10-26,20635800,58349523,21375800,4005800,158982900
2010-10-27,23674600,77185177,25804800,5489900,190024000
2010-10-28,17096200,71284256,23175600,5007000,168576000
2010-10-29,16677200,49026545,18718400,6751200,144305500
2010-11-01,16937800,80929756,24041200,6943700,174074800
2010-11-02,14973800,67197828,20455000,5303500,158345900
2010-11-03,30232800,133181275,45454800,8271300,226702800
2010-11-04,27347000,204934664,38657000,7898400,215039400
2010-11-05,17475400,203857416,29371800,10241400,180654100
2010-11-08,15004200,110754301,23977400,7745100,156107100
2010-11-09,18159600,150410720,40127600,7484100,186621600
2010-11-10,14106000,149972115,35556600,6532400,221387400
2010-11-11,24255400,73585118,36081400,5827800,158017600
2010-11-12,21570800,109245218,35748600,6763900,239068800
2010-11-15,17599200,88027456,21502600,4181900,163940800
2010-11-16,35830800,166446464,47399600,12265400,299566200
2010-11-17,20825800,111420026,33635600,5810200,172308900
2010-11-18,21610400,105170116,32105000,5721600,197723700
2010-11-19,10239800,53682925,22721600,5078100,156852900
2010-11-22,18828400,119643844,36263000,7405200,181361000
2010-11-23,22018800,104476201,45070000,9030600,222309000
2010-11-24,14432400,72325066,45245200,5591000,140046100
2010-11-26,4980000,39044858,13178800,2863600,76007800
2010-11-29,14342000,101123080,29468800,7439200,223642300
2010-11-30,21385600,94421024,38537600,8214800,233930700
2010-12-01,21454600,102218916,39947600,8571300,221037200
2010-12-02,19251200,139900073,35355200,5519300,191213600
2010-12-03,18354800,111832288,20023400,7769400,151288900
2010-12-06,12875600,64905337,23980400,5092200,103050500
2010-12-07,19821200,131973540,45864800,6938200,206581000
2010-12-08,18021800,119732230,25520400,5222000,138019200
2010-12-09,12462600,95687230,21904800,3670300,123705100
2010-12-10,11634000,69683833,17352200,5730100,117571700
2010-12-13,13802200,62184704,25768800,9561500,133812700
2010-12-14,12583400,85879730,23029200,5587600,147249600
2010-12-15,9197000,101531526,22232200,5816700,160823100
2010-12-16,11870400,108179541,22051600,5071800,185035200
2010-12-17,11957600,76205917,22644800,6012600,141075300
2010-12-20,9538400,49879628,20469400,3241800,119085500
2010-12-21,11115400,59296901,17402000,2946300,94965500
2010-12-22,10815600,87852408,15711000,2646000,78878100
2010-12-23,6456400,36235347,9052000,2874100,70053700
2010-12-27,5982800,29735790,8286400,835200,58126000
2010-12-28,5815000,42018708,10298200,1652600,55309100
2010-12-29,7469800,31035357,11065400,1990500,58033100
2010-12-30,10092000,45377614,11953400,3877200,76616900
2010-12-31,12704200,27080400,8889000,3908500,91218900
2011-01-03,14855000,113566767,20391600,6877800,138725200
2011-01-04,18383400,65761128,29084000,4161000,137409700
2011-01-05,23670800,119644460,22572400,7962800,133975300
2011-01-06,22089000,82408064,22898400,4966800,122519000
2011-01-07,17831200,219266212,22160600,6199000,156034600
2011-01-10,20666600,107038774,21608400,4481000,122401700
2011-01-11,16782800,61620659,22730600,3356200,110287000
2011-01-12,27155000,100785048,22053200,2886100,107929200
2011-01-13,26086800,74704466,23043800,7414600,129048400
2011-01-14,15706800,113359713,28010800,3907500,117677900
2011-01-18,17266000,75478150,25070400,8160100,114401300
2011-01-19,22431200,144544020,30234000,9936400,151958400
2011-01-20,30717200,115484911,46345000,8811800,175745700
2011-01-21,23263400,93333928,29148000,8079700,151462900
2011-01-24,36983400,54863208,26197000,3711500,113715500
2011-01-25,22027000,84937892,31635400,8002500,167552200
2011-01-26,16571000,68221281,48443200,7671800,141281500
2011-01-27,18093000,88248544,29977200,6871900,123302700
2011-01-28,32363400,139244565,47383200,11096100,295637300
2011-01-31,27973000,77839208,50229800,9021600,149249200
2011-02-01,24745400,78635911,40886400,13051200,167194300
2011-02-02,17495000,57381711,27115200,4627700,118323600
2011-02-03,22929000,63619065,29031000,6316300,145886700
2011-02-04,15135200,76650431,26557200,4380100,134634800
2011-02-07,19596400,61790537,32347200,9145200,112439100
2011-02-08,10376000,59912524,31192000,5160100,99072800
2011-02-09,10374400,68776339,32643400,4933400,146436700
2011-02-10,15676800,53665322,33611400,4383300,162708500
2011-02-11,25499200,90898394,37725400,4341900,137710300
2011-02-14,11883600,43128085,30430800,9054900,101690700
2011-02-15,12084800,60650508,22887200,5502400,119575400
2011-02-16,13573000,44080140,31806600,4256200,130183500
2011-02-17,13297800,43641043,21592800,8772000,109810500
2011-02-18,12668200,39684855,24816400,4583200,130002400
2011-02-22,44693600,125808569,49665600,12072400,233116400
2011-02-23,24511800,142391001,64379400,9817600,227584000
2011-02-24,22663400,98899648,44766600,9063800,260431400
2011-02-25,15605800,61174545,23537400,6129200,141686900
2011-02-28,18504600,68170072,31746200,15415100,141585500
2011-03-01,29088000,130762113,40399200,10264400,258565500
2011-03-02,19854600,82293212,30085800,11750700,200277400
2011-03-03,19117000,103454963,22657600,11733900,176480100
2011-03-04,27781400,129134485,28247000,8793600,277202300
2011-03-07,29609400,85241580,29327200,8359500,216790400
2011-03-08,21926400,98070200,32348400,5795000,174615000
2011-03-09,23727000,87131903,27189800,8000200,153806000
2011-03-10,29591200,114185344,72320600,12703000,301291800
2011-03-11,22764400,107898504,48341000,8004000,225621800
2011-03-14,19229600,86120391,32830400,7608100,234974100
2011-03-15,29789400,127169809,43619000,12855500,359585400
2011-03-16,42762200,214034093,63229400,20826500,468670300
2011-03-17,21866200,120224753,41830600,10301600,254303700
2011-03-18,36830200,207386693,48328600,16696000,230435400
2011-03-21,17801200,95996704,34325600,8783300,153992600
2011-03-22,18278600,56765349,20025000,6413300,129538600
2011-03-23,11671200,79906795,20190800,7349200,148603100
2011-03-24,20801200,76789780,30706200,10593600,159129800
2011-03-25,12480200,55517238,23273800,5281100,155642800
2011-03-28,16532200,39245265,28291000,3925300,109762400
2011-03-29,10271600,46897284,33912800,4031500,129798800
2011-03-30,12454600,75779991,38082400,5202600,135835000
2011-03-31,12432000,60843037,37701000,3280600,132537100
2011-04-01,21874800,80709407,25823800,3929600,153850100
2011-04-04,11739600,47174874,14951200,4286700,100768900
2011-04-05,19828400,47211312,38580800,4311300,120791500
2011-04-06,21893200,81798227,32947400,3954000,120411600
2011-04-07,18300600,60873442,29621400,7031500,170731500
2011-04-08,12734000,73274290,38279600,6907600,147945400
2011-04-11,11592800,49493463,35365400,8928500,121385400
2011-04-12,16106800,78789416,75875600,6200400,161187400
2011-04-13,14444400,94654914,53669400,4442000,162059000
2011-04-14,11015000,72457522,41344800,8316200,161220400
2011-04-15,20343600,64317165,30527800,9761800,170006700
2011-04-18,17627000,102992477,40069400,7603400,210759300
2011-04-19,19927800,72236188,30109200,5456100,124258800
2011-04-20,18449000,78296032,44828000,7116900,156133800
2011-04-21,20296000,54159938,25276600,4828600,135935400
2011-04-25,12519400,37023310,14150800,6363700,65757100
2011-04-26,14400000,61796200,18399000,5800000,146600000
2011-04-27,16033800,69756092,37414200,8745300,143031000
2011-04-28,16963600,53786206,29992400,5219400,124791100
2011-04-29,15000000,30507750,19857200,11660100,115094100
2011-05-02,13415000,51127862,35524000,14846400,126278700
2011-05-03,16303600,85342891,57490400,11291300,138375000
2011-05-04,21753800,112329858,59484200,9434600,182678500
2011-05-05,26800000,103157800,89000000,11700000,226900000
2011-05-06,21269000,102177678,70404600,7405100,222787200
2011-05-09,7888200,47858203,48448600,9030400,114104500
2011-05-10,27132000,69163243,35520600,7764600,114806900
2011-05-11,23684800,97156183,82325600,13491000,193564200
2011-05-12,21935400,78830655,77901800,7867600,171550700
2011-05-13,20408200,82158787,71863800,10091200,157444900
2011-05-16,33938800,89906208,56288200,7557200,141675400
2011-05-17,110101200,98470152,60198400,7397600,192686200
2011-05-18,23915400,60153554,51692600,5666800,135217900
2011-05-19,16237000,64194311,39321800,17052500,119489500
2011-05-20,26858600,89394728,54092800,11701300,182594900
2011-05-23,25196800,93564986,40600000,27910000,168700000
2011-05-24,17531400,79566054,49661600,10177500,147199600
2011-05-25,24816200,85723147,49835400,7239400,151050100
2011-05-26,22264200,84613647,37491000,6576400,164850000
2011-05-27,25109200,61971741,33394200,7043300,120921900
2011-05-31,21345200,80145486,38622400,10185900,164731200
2011-06-01,33255000,148857321,55227800,12042500,233094300
2011-06-02,20809800,165873188,48210600,7603400,200466800
2011-06-03,21554600,119706995,44755000,12026700,234690200
2011-06-06,16872000,145434772,46875200,6513500,179951200
2011-06-07,17582000,97768974,38331600,8211900,161660500
2011-06-08,19987200,102198851,50113200,6631100,198696400
2011-06-09,10667000,73352336,34544000,6971000,160964400
2011-06-10,21798400,181570161,41937000,17102600,238629400
2011-06-13,23329800,117670798,55501200,10150700,207599800
2011-06-14,18234400,104946689,45755400,8585800,160570400
2011-06-15,33123400,188730642,71279800,15194100,300958000
2011-06-16,18411800,165893253,50527800,10648300,308032800
2011-06-17,39895800,100420179,54247600,16765100,233284900
2011-06-20,17454200,66083650,34722600,8445200,159479000
2011-06-21,28681800,95554282,46391000,12641600,193157300
2011-06-22,22092400,106150238,37099800,7622800,176703000
2011-06-23,25150400,127233698,90907200,19458700,334286500
2011-06-24,23521200,91530513,34131400,11042000,226129300
2011-06-27,23962000,61283489,39388400,6268200,168904700
2011-06-28,16118800,58644594,31715600,9300200,165556300
2011-06-29,16565600,111616001,42642800,6541700,244295500
2011-06-30,18197000,92703779,38834800,11835800,223322700
2011-07-01,22902600,77715000,29776800,10374800,202385700
2011-07-05,16311800,100972036,31367000,6410500,165936000
2011-07-06,13517200,66252174,21930600,6899800,143331600
2011-07-07,26018200,55920391,35648000,7400100,170464200
2011-07-08,23908400,76580879,34260000,6741200,194100500
2011-07-11,23381400,107713485,38289000,11117200,195918600
2011-07-12,18861800,79766707,41091400,5988800,214675700
2011-07-13,11160200,105923365,40326000,8597100,204062600
2011-07-14,21495400,150775588,45265800,9443600,226111800
2011-07-15,28470800,132402790,54734200,9994600,220012800
2011-07-18,16761200,137133277,40723800,8569400,196872100
2011-07-19,24640800,134575505,39114600,9930600,166554900
2011-07-20,11853600,118538406,21035600,6808400,137145400
2011-07-21,22424400,189235844,34714000,14621500,245246300
2011-07-22,12630000,60323309,22999200,7642700,126019400
2011-07-25,11805600,78466525,30966400,6821100,136653800
2011-07-26,16658800,113040637,33937800,8696700,131278200
2011-07-27,26931400,151973351,47569000,13037300,249020100
2011-07-28,21409200,80068056,39108000,13788400,207939900
2011-07-29,22955000,98119563,34671200,18230600,307038400
2011-08-01,23996200,91890703,43970000,27608500,325790900
2011-08-02,42248200,142203889,54402400,23052100,346653800
2011-08-03,43071200,150485442,71128000,23351200,370830800
2011-08-04,67391800,228842654,109053800,26524200,520721800
2011-08-05,65683400,220311208,132818800,34270900,655619200
2011-08-08,89921600,320107763,111986400,35749300,702263900
2011-08-09,83606000,203780725,100798200,33607200,717828700
2011-08-10,69241200,333138883,98747400,31686400,662607400
2011-08-11,63193000,342125552,84065200,23576700,487979700
2011-08-12,29171800,167083138,53101000,14175900,313731600
2011-08-15,69936400,140239829,58621200,22841300,258810600
2011-08-16,40466400,128292974,59890400,16553800,294095200
2011-08-17,43154600,117996766,43327800,12656600,238201100
2011-08-18,61895000,208364107,74495400,14270400,512956300
2011-08-19,75489400,155535619,54637400,18010300,428281300
2011-08-22,40644800,127443091,49050800,11770100,275090600
2011-08-23,37140400,170500517,71707000,12479500,331136600
2011-08-24,44978600,161958977,37735600,11758600,246869700
2011-08-25,40875600,234626754,53585400,15550800,312365400
2011-08-26,46332800,121201429,47672200,12478900,314495900
2011-08-29,39852000,119732353,71086400,11473900,190977200
2011-08-30,24940400,107048376,39676600,11804700,241315700
2011-08-31,24520600,107177384,48969600,10386100,301828400
2011-09-01,22643200,123459575,42588400,9625000,254585900
2011-09-02,28679000,131594516,41702000,11320900,255517200
2011-09-06,22863200,138630665,38711000,44453200,285130500
2011-09-07,21515400,141058813,37051400,10855700,209803200
2011-09-08,18912000,104926993,36978200,9130800,250568200
2011-09-09,33013800,158558709,70078800,16098500,380195100
2011-09-12,22505200,144663304,51513800,13393200,305793500
2011-09-13,32684400,121317389,56409000,11253500,272514700
2011-09-14,33621600,124639242,51431800,14000300,319389500
2011-09-15,25153800,128471592,34662400,12105200,326777200
2011-09-16,30007200,97875333,46072800,11861400,284528300
2011-09-19,23528800,127818546,41719800,11646000,241517000
2011-09-20,49468200,68153453,40268800,10829700,218932200
2011-09-21,44161600,147554800,53565800,14044800,316251300
2011-09-22,82462000,251432981,76132000,26670000,513911300
2011-09-23,52197800,146697901,65590600,17981500,307242500
2011-09-26,41016200,136811863,68786400,13336900,260673700
2011-09-27,43886800,173008556,64972400,14319000,311753900
2011-09-28,24657600,126402158,46186600,15072000,286696800
2011-09-29,39385800,126952784,45739000,12782900,298108900
2011-09-30,32973200,118365943,59458800,10356100,288392300
2011-10-03,47078800,197426303,70130600,48032100,365136800
2011-10-04,33952200,275785977,82731000,20949700,459177500
2011-10-05,26480200,148534060,75130000,16962400,284108000
2011-10-06,21334800,171494180,47634400,9795500,257800800
2011-10-07,19545200,189703501,48779200,10780900,312657900
2011-10-10,16416600,121636587,35816000,6615000,230666300
2011-10-11,21544600,118209237,44856000,5107500,209088000
2011-10-12,19226600,156456284,37262400,8411100,281544900
2011-10-13,19951400,143400298,30318400,5970000,212538800
2011-10-14,23006000,149084564,33232000,6229400,211397600
2011-10-17,17802600,108158491,37612800,6750800,202311600
2011-10-18,17419600,226470024,48910600,9932600,318857900
2011-10-19,24489600,163000772,48058000,6233500,226601300
2011-10-20,17875400,152230261,43755000,6920500,262075600
2011-10-21,19584600,210757910,48340200,6784700,278999400
2011-10-24,25305200,125120194,45945000,36228400,203215600
2011-10-25,24070000,169801678,43836600,8333400,268596800
2011-10-26,14990200,167673895,36364800,8655700,289053800
2011-10-27,27882200,286446930,62364800,16385700,393220200
2011-10-28,18011600,167421540,35022400,10215300,225906500
2011-10-31,12862400,135847497,43910200,12897900,228146700
2011-11-01,33196600,263955821,83484400,13507200,416565800
2011-11-02,17999400,141886414,40618800,6063500,244717600
2011-11-03,23279200,137635648,39424400,7748400,291174800
2011-11-04,11387800,114088957,25105800,5672500,249401600
2011-11-07,12765000,101449664,26937800,5520200,196617200
2011-11-08,14476200,140400105,38305400,4987600,224426300
2011-11-09,20789600,144136559,50543200,13047000,337982000
2011-11-10,11454200,175243190,40707200,6093300,231866500
2011-11-11,9877200,113960564,28803000,7084000,189924400
2011-11-14,6522000,77723247,30765000,4100200,159258300
2011-11-15,15485600,110939567,33349400,5627500,184709400
2011-11-16,17483000,112264861,43882200,10464700,235782500
2011-11-17,24996600,178507556,51071800,10134200,331219600
2011-11-18,14593800,104695565,53903400,6194700,215580400
2011-11-21,18826000,120345391,40016600,7436600,229611600
2011-11-22,14135600,81508942,37392600,5160500,216494900
2011-11-23,25073600,101619666,43575200,6472400,224329100
2011-11-25,14131800,39104069,14299600,2497600,99557000
2011-11-28,19591800,84348120,43699600,7381200,210686000
2011-11-29,9531000,78328776,28954200,4789900,199241500
2011-11-30,27460600,168795212,65999200,13397100,324439500
2011-12-01,15959400,84288047,32664600,5970200,176954800
2011-12-02,11084800,157736524,29879400,15173400,221109700
2011-12-05,12168000,124016480,29724000,43739100,225263900
2011-12-06,11733200,69770618,27718800,5064200,178842100
2011-12-07,11650600,112741751,34288600,6479800,237802500
2011-12-08,13632200,150280849,34289800,7784600,240862800
2011-12-09,16561200,120871398,31036600,5605900,209111400
2011-12-12,116342000,120333328,38629800,5421500,215826100
2011-12-13,23459600,149126787,37277600,5022800,245159800
2011-12-14,27793400,117957251,53368600,5186800,238618800
2011-12-15,18948000,75845726,35498600,6535300,199109200
2011-12-16,39399000,122441784,43941200,5777300,220481400
2011-12-19,20306400,81936099,25074800,4601700,183903000
2011-12-20,17925600,126622630,25326600,5208900,225418100
2011-12-21,18212600,98054074,24051600,5196900,194230900
2011-12-22,9373800,79959605,21976200,3699900,119465400
2011-12-23,9490600,37730396,10428200,2240300,92187200
2011-12-27,5578000,33277869,11260600,2224100,86075700
2011-12-28,9702600,52844368,22641400,5908200,119107100
2011-12-29,11777800,46397867,15404200,4775400,123507200
2011-12-30,7502600,34132060,13160000,2711600,95599000
2012-01-03,53679800,103362023,48509600,18864300,193697900
2012-01-04,9488600,69833891,28037000,6174000,127186500
2012-01-05,13513800,89935260,25349400,5939700,173895000
2012-01-06,9978400,83878617,17786200,6762500,148050000
2012-01-09,8173200,69189586,24086400,10695300,99530200
2012-01-10,11466200,86035082,27266800,7122300,115282000
2012-01-11,8307600,80938989,26944000,3501000,111540700
2012-01-12,9731000,94107119,39409600,3404900,118983700
2012-01-13,11943000,95008949,32434800,4826800,179836200
2012-01-17,11066200,89019642,25054000,5792900,132209200
2012-01-18,14418800,118473902,30723600,6940400,163395200
